time,stock,symbol,signal_type,label,price,rsi_15m,daily_rsi,weekly_rsi,target_price,entry_price,entry_level,pnl_pct,state
2026-05-21T09:30:00+05:30,WELCORP,NSE:WELCORP-EQ,BUY1,WELCORP (Buy 1),1337.1,69.79,71.03,73.21,1403.95,,,,BUY1_ACTIVE
2026-05-21T09:30:00+05:30,MCX,NSE:MCX-EQ,BUY1,MCX (Buy 1),3453.4,69.33,80.46,82.96,3626.07,,,,BUY1_ACTIVE
2026-05-21T09:30:00+05:30,APOLLO,NSE:APOLLO-EQ,FLAGGED_BUY,APOLLO (Flagged Buy),370.95,79.39,72.9,69.29,,,,,FLAGGED_BUY
2026-05-21T09:30:00+05:30,KIRLPNU,NSE:KIRLPNU-EQ,BUY1,KIRLPNU (Buy 1),1634.9,74.16,71.88,75.71,1716.65,,,,BUY1_ACTIVE
2026-05-21T09:45:00+05:30,IDEA,NSE:IDEA-EQ,BUY1,IDEA (Buy 1),13.76,68.04,84.67,70.13,14.45,,,,BUY1_ACTIVE
2026-05-21T09:45:00+05:30,ADANIENT,NSE:ADANIENT-EQ,BUY1,ADANIENT (Buy 1),2753.6,73.77,71.85,66.33,2891.28,,,,BUY1_ACTIVE
2026-05-21T10:00:00+05:30,AUROPHARMA,NSE:AUROPHARMA-EQ,BUY1,AUROPHARMA (Buy 1),1538.3,69.48,70.49,76.96,1615.21,,,,BUY1_ACTIVE
2026-05-21T10:00:00+05:30,HFCL,NSE:HFCL-EQ,BUY1,HFCL (Buy 1),144.85,73.34,65.45,74.26,152.09,,,,BUY1_ACTIVE
2026-05-21T10:30:00+05:30,BHEL,NSE:BHEL-EQ,BUY1,BHEL (Buy 1),407.8,58.61,71.12,73.62,428.19,,,,BUY1_ACTIVE
2026-05-21T10:45:00+05:30,SOLARINDS,NSE:SOLARINDS-EQ,BUY1,SOLARINDS (Buy 1),18359.0,58.59,79.36,72.04,19276.95,,,,BUY1_ACTIVE
2026-05-21T11:00:00+05:30,APOLLO,NSE:APOLLO-EQ,BUY1,APOLLO (Buy 1),362.8,59.07,72.9,69.29,380.94,,,,BUY1_ACTIVE
2026-05-21T11:45:00+05:30,MCX,NSE:MCX-EQ,BUY2,MCX (Buy 2),3371.2,28.79,80.46,82.96,3573.47,,,,BUY2_ACTIVE
2026-05-21T12:15:00+05:30,MTARTECH,NSE:MTARTECH-EQ,BUY1,MTARTECH (Buy 1),7681.0,59.49,67.63,84.59,8065.05,,,,BUY1_ACTIVE
2026-05-21T12:15:00+05:30,VGUARD,NSE:VGUARD-EQ,SELL1,VGUARD (Sell 1),305.0,31.16,35.88,36.98,289.75,,,,SELL1_ACTIVE
2026-05-21T12:30:00+05:30,SWIGGY,NSE:SWIGGY-EQ,SELL1,SWIGGY (Sell 1),253.8,31.84,38.96,32.81,241.11,,,,SELL1_ACTIVE
2026-05-21T13:15:00+05:30,BRITANNIA,NSE:BRITANNIA-EQ,SELL1,BRITANNIA (Sell 1),5296.0,30.62,37.87,38.14,5031.2,,,,SELL1_ACTIVE
2026-05-21T13:30:00+05:30,URBANCO,NSE:URBANCO-EQ,SELL1,URBANCO (Sell 1),118.6,30.59,35.46,39.3,112.67,,,,SELL1_ACTIVE
2026-05-21T13:45:00+05:30,SHADOWFAX,NSE:SHADOWFAX-EQ,BUY1,SHADOWFAX (Buy 1),205.38,59.96,76.84,81.82,215.65,,,,BUY1_ACTIVE
2026-05-21T13:45:00+05:30,ADANIPORTS,NSE:ADANIPORTS-EQ,BUY1,ADANIPORTS (Buy 1),1797.3,70.16,66.22,66.63,1887.16,,,,BUY1_ACTIVE
2026-05-21T14:00:00+05:30,UBL,NSE:UBL-EQ,SELL1,UBL (Sell 1),1329.9,28.33,26.7,30.61,1263.4,,,,SELL1_ACTIVE
2026-05-21T14:15:00+05:30,TRITURBINE,NSE:TRITURBINE-EQ,BUY1,TRITURBINE (Buy 1),688.75,56.8,74.32,71.33,723.19,,,,BUY1_ACTIVE
2026-05-21T14:30:00+05:30,GLAND,NSE:GLAND-EQ,BUY1,GLAND (Buy 1),2288.3,68.94,74.89,71.71,2402.72,,,,BUY1_ACTIVE
2026-05-21T15:15:00+05:30,GRINDWELL,NSE:GRINDWELL-EQ,FLAGGED_BUY,GRINDWELL (Flagged Buy),1975.2,77.91,74.88,69.74,,,,,FLAGGED_BUY
2026-05-21T15:30:00+05:30,ENRIN,NSE:ENRIN-EQ,BUY1,ENRIN (Buy 1),3546.0,47.16,70.41,65.42,3723.3,,,,BUY1_ACTIVE
2026-05-21T15:30:00+05:30,PIIND,NSE:PIIND-EQ,SELL1,PIIND (Sell 1),2750.7,40.3,38.44,39.3,2613.16,,,,SELL1_ACTIVE
2026-05-21T15:30:00+05:30,GRINDWELL,NSE:GRINDWELL-EQ,BUY1,GRINDWELL (Buy 1),1938.0,56.05,74.88,69.74,2034.9,,,,BUY1_ACTIVE
2026-05-21T15:30:00+05:30,TATACAP,NSE:TATACAP-EQ,SELL1,TATACAP (Sell 1),297.5,29.31,32.82,37.43,282.62,,,,SELL1_ACTIVE
