plain_name,fyers_symbol,company_name
QPOWER,NSE:QPOWER-EQ,QPOWER
RADICO,NSE:RADICO-EQ,RADICO
RAILTEL,NSE:RAILTEL-EQ,RAILTEL
RAINBOW,NSE:RAINBOW-EQ,RAINBOW
RAMCOCEM,NSE:RAMCOCEM-EQ,RAMCOCEM
RATNAMANI,NSE:RATNAMANI-EQ,RATNAMANI
RBLBANK,NSE:RBLBANK-EQ,RBLBANK
RECLTD,NSE:RECLTD-EQ,RECLTD
REDINGTON,NSE:REDINGTON-EQ,REDINGTON
RELIANCE,NSE:RELIANCE-EQ,RELIANCE
RHIM,NSE:RHIM-EQ,RHIM
RITES,NSE:RITES-EQ,RITES
RKFORGE,NSE:RKFORGE-EQ,RKFORGE
RPOWER,NSE:RPOWER-EQ,RPOWER
RRKABEL,NSE:RRKABEL-EQ,RRKABEL
RUBICON,NSE:RUBICON-EQ,RUBICON
RVNL,NSE:RVNL-EQ,RVNL
SAGILITY,NSE:SAGILITY-EQ,SAGILITY
SAIL,NSE:SAIL-EQ,SAIL
SAILIFE,NSE:SAILIFE-EQ,SAILIFE
SAMMAANCAP,NSE:SAMMAANCAP-EQ,SAMMAANCAP
SANDUMA,NSE:SANDUMA-EQ,SANDUMA
SANOFICONR,NSE:SANOFICONR-EQ,SANOFICONR
SANSERA,NSE:SANSERA-EQ,SANSERA
SARDAEN,NSE:SARDAEN-EQ,SARDAEN
SBFC,NSE:SBFC-EQ,SBFC
SBICARD,NSE:SBICARD-EQ,SBICARD
SBILIFE,NSE:SBILIFE-EQ,SBILIFE
SBIN,NSE:SBIN-EQ,SBIN
SCHAEFFLER,NSE:SCHAEFFLER-EQ,SCHAEFFLER
SCHNEIDER,NSE:SCHNEIDER-EQ,SCHNEIDER
SCI,NSE:SCI-EQ,SCI
SEDEMAC,NSE:SEDEMAC-EQ,SEDEMAC
SHADOWFAX,NSE:SHADOWFAX-EQ,SHADOWFAX
SHAILY,NSE:SHAILY-EQ,SHAILY
SHARDACROP,NSE:SHARDACROP-EQ,SHARDACROP
SHILPAMED,NSE:SHILPAMED-EQ,SHILPAMED
SHREECEM,NSE:SHREECEM-EQ,SHREECEM
SHRIPISTON,NSE:SHRIPISTON-EQ,SHRIPISTON
SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,SHRIRAMFIN
SHYAMMETL,NSE:SHYAMMETL-EQ,SHYAMMETL
SIEMENS,NSE:SIEMENS-EQ,SIEMENS
SIGNATURE,NSE:SIGNATURE-EQ,SIGNATURE
SJVN,NSE:SJVN-EQ,SJVN
SKFINDIA,NSE:SKFINDIA-EQ,SKFINDIA
SKFINDUS,NSE:SKFINDUS-EQ,SKFINDUS
SKYGOLD,NSE:SKYGOLD-EQ,SKYGOLD
SOBHA,NSE:SOBHA-EQ,SOBHA
SOLARINDS,NSE:SOLARINDS-EQ,SOLARINDS
SONACOMS,NSE:SONACOMS-EQ,SONACOMS
SONATSOFTW,NSE:SONATSOFTW-EQ,SONATSOFTW
SOUTHBANK,NSE:SOUTHBANK-EQ,SOUTHBANK
SPLPETRO,NSE:SPLPETRO-EQ,SPLPETRO
SRF,NSE:SRF-EQ,SRF
STAR,NSE:STAR-EQ,STAR
STARCEMENT,NSE:STARCEMENT-EQ,STARCEMENT
STARHEALTH,NSE:STARHEALTH-EQ,STARHEALTH
STLTECH,NSE:STLTECH-EQ,STLTECH
SUMICHEM,NSE:SUMICHEM-EQ,SUMICHEM
SUNDARMFIN,NSE:SUNDARMFIN-EQ,SUNDARMFIN
SUNDRMFAST,NSE:SUNDRMFAST-EQ,SUNDRMFAST
SUNPHARMA,NSE:SUNPHARMA-EQ,SUNPHARMA
SUNTV,NSE:SUNTV-EQ,SUNTV
SUPREMEIND,NSE:SUPREMEIND-EQ,SUPREMEIND
SUZLON,NSE:SUZLON-EQ,SUZLON
SWANCORP,NSE:SWANCORP-EQ,SWANCORP
SWIGGY,NSE:SWIGGY-EQ,SWIGGY
SYNGENE,NSE:SYNGENE-EQ,SYNGENE
SYRMA,NSE:SYRMA-EQ,SYRMA
TARIL,NSE:TARIL-EQ,TARIL
TATACAP,NSE:TATACAP-EQ,TATACAP
TATACHEM,NSE:TATACHEM-EQ,TATACHEM
TATACOMM,NSE:TATACOMM-EQ,TATACOMM
TATACONSUM,NSE:TATACONSUM-EQ,TATACONSUM
TATAELXSI,NSE:TATAELXSI-EQ,TATAELXSI
TATAINVEST,NSE:TATAINVEST-EQ,TATAINVEST
TATAPOWER,NSE:TATAPOWER-EQ,TATAPOWER
TATASTEEL,NSE:TATASTEEL-EQ,TATASTEEL
TATATECH,NSE:TATATECH-EQ,TATATECH
TBOTEK,NSE:TBOTEK-EQ,TBOTEK
TCS,NSE:TCS-EQ,TCS
TDPOWERSYS,NSE:TDPOWERSYS-EQ,TDPOWERSYS
TECHM,NSE:TECHM-EQ,TECHM
TECHNOE,NSE:TECHNOE-EQ,TECHNOE
TEGA,NSE:TEGA-EQ,TEGA
TEJASNET,NSE:TEJASNET-EQ,TEJASNET
TENNIND,NSE:TENNIND-EQ,TENNIND
THANGAMAYL,NSE:THANGAMAYL-EQ,THANGAMAYL
THELEELA,NSE:THELEELA-EQ,THELEELA
THERMAX,NSE:THERMAX-EQ,THERMAX
TI,NSE:TI-EQ,TI
TIINDIA,NSE:TIINDIA-EQ,TIINDIA
TIMETECHNO,NSE:TIMETECHNO-EQ,TIMETECHNO
TIMKEN,NSE:TIMKEN-EQ,TIMKEN
TIPSMUSIC,NSE:TIPSMUSIC-EQ,TIPSMUSIC
TITAGARH,NSE:TITAGARH-EQ,TITAGARH
TITAN,NSE:TITAN-EQ,TITAN
TMB,NSE:TMB-EQ,TMB
TMCV,NSE:TMCV-EQ,TMCV
TMPV,NSE:TMPV-EQ,TMPV
TORNTPHARM,NSE:TORNTPHARM-EQ,TORNTPHARM
TORNTPOWER,NSE:TORNTPOWER-EQ,TORNTPOWER
TRAVELFOOD,NSE:TRAVELFOOD-EQ,TRAVELFOOD
TRENT,NSE:TRENT-EQ,TRENT
TRIDENT,NSE:TRIDENT-EQ,TRIDENT
TRITURBINE,NSE:TRITURBINE-EQ,TRITURBINE
TRIVENI,NSE:TRIVENI-EQ,TRIVENI
TSFINV,NSE:TSFINV-EQ,TSFINV
TTML,NSE:TTML-EQ,TTML
TVSHLTD,NSE:TVSHLTD-EQ,TVSHLTD
TVSMOTOR,NSE:TVSMOTOR-EQ,TVSMOTOR
UBL,NSE:UBL-EQ,UBL
UCOBANK,NSE:UCOBANK-EQ,UCOBANK
UJJIVANSFB,NSE:UJJIVANSFB-EQ,UJJIVANSFB
ULTRACEMCO,NSE:ULTRACEMCO-EQ,ULTRACEMCO
UNIONBANK,NSE:UNIONBANK-EQ,UNIONBANK
UNITDSPR,NSE:UNITDSPR-EQ,UNITDSPR
UNOMINDA,NSE:UNOMINDA-EQ,UNOMINDA
UPL,NSE:UPL-EQ,UPL
URBANCO,NSE:URBANCO-EQ,URBANCO
USHAMART,NSE:USHAMART-EQ,USHAMART
UTIAMC,NSE:UTIAMC-EQ,UTIAMC
UTLSOLAR,NSE:UTLSOLAR-EQ,UTLSOLAR
V2RETAIL,NSE:V2RETAIL-EQ,V2RETAIL
VARROC,NSE:VARROC-EQ,VARROC
VBL,NSE:VBL-EQ,VBL
VEDL,NSE:VEDL-EQ,VEDL
VENTIVE,NSE:VENTIVE-EQ,VENTIVE
VESUVIUS,NSE:VESUVIUS-EQ,VESUVIUS
VGUARD,NSE:VGUARD-EQ,VGUARD
VIJAYA,NSE:VIJAYA-EQ,VIJAYA
VINATIORGA,NSE:VINATIORGA-EQ,VINATIORGA
VIYASH,NSE:VIYASH-EQ,VIYASH
VMM,NSE:VMM-EQ,VMM
VOLTAMP,NSE:VOLTAMP-EQ,VOLTAMP
VOLTAS,NSE:VOLTAS-EQ,VOLTAS
VTL,NSE:VTL-EQ,VTL
WAAREEENER,NSE:WAAREEENER-EQ,WAAREEENER
WAAREERTL,NSE:WAAREERTL-EQ,WAAREERTL
WABAG,NSE:WABAG-EQ,WABAG
WELCORP,NSE:WELCORP-EQ,WELCORP
WELSPUNLIV,NSE:WELSPUNLIV-EQ,WELSPUNLIV
WHIRLPOOL,NSE:WHIRLPOOL-EQ,WHIRLPOOL
WIPRO,NSE:WIPRO-EQ,WIPRO
WOCKPHARMA,NSE:WOCKPHARMA-EQ,WOCKPHARMA
YATHARTH,NSE:YATHARTH-EQ,YATHARTH
YESBANK,NSE:YESBANK-EQ,YESBANK
ZEEL,NSE:ZEEL-EQ,ZEEL
ZENSARTECH,NSE:ZENSARTECH-EQ,ZENSARTECH
ZENTEC,NSE:ZENTEC-EQ,ZENTEC
ZFCVINDIA,NSE:ZFCVINDIA-EQ,ZFCVINDIA
ZYDUSLIFE,NSE:ZYDUSLIFE-EQ,ZYDUSLIFE
ZYDUSWELL,NSE:ZYDUSWELL-EQ,ZYDUSWELL
