plain_name,fyers_symbol,company_name
APLAPOLLO,NSE:APLAPOLLO-EQ,APLAPOLLO
APLLTD,NSE:APLLTD-EQ,APLLTD
APOLLO,NSE:APOLLO-EQ,APOLLO
APOLLOHOSP,NSE:APOLLOHOSP-EQ,APOLLOHOSP
APOLLOTYRE,NSE:APOLLOTYRE-EQ,APOLLOTYRE
APTUS,NSE:APTUS-EQ,APTUS
ARE&M,NSE:ARE&M-EQ,ARE&M
ARVIND,NSE:ARVIND-EQ,ARVIND
ASAHIINDIA,NSE:ASAHIINDIA-EQ,ASAHIINDIA
ASHOKLEY,NSE:ASHOKLEY-EQ,ASHOKLEY
ASIANPAINT,NSE:ASIANPAINT-EQ,ASIANPAINT
ASKAUTOLTD,NSE:ASKAUTOLTD-EQ,ASKAUTOLTD
ASTERDM,NSE:ASTERDM-EQ,ASTERDM
ASTRAL,NSE:ASTRAL-EQ,ASTRAL
ASTRAMICRO,NSE:ASTRAMICRO-EQ,ASTRAMICRO
ASTRAZEN,NSE:ASTRAZEN-EQ,ASTRAZEN
ATGL,NSE:ATGL-EQ,ATGL
ATHERENERG,NSE:ATHERENERG-EQ,ATHERENERG
ATLANTAELE,NSE:ATLANTAELE-EQ,ATLANTAELE
ATUL,NSE:ATUL-EQ,ATUL
AUBANK,NSE:AUBANK-EQ,AUBANK
AUROPHARMA,NSE:AUROPHARMA-EQ,AUROPHARMA
AVALON,NSE:AVALON-EQ,AVALON
AVANTIFEED,NSE:AVANTIFEED-EQ,AVANTIFEED
AWL,NSE:AWL-EQ,AWL
AXISBANK,NSE:AXISBANK-EQ,AXISBANK
AXISCADES,NSE:AXISCADES-EQ,AXISCADES
AZAD,NSE:AZAD-EQ,AZAD
BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,BAJAJ-AUTO
BAJAJFINSV,NSE:BAJAJFINSV-EQ,BAJAJFINSV
BAJAJHFL,NSE:BAJAJHFL-EQ,BAJAJHFL
BAJAJHLDNG,NSE:BAJAJHLDNG-EQ,BAJAJHLDNG
BAJFINANCE,NSE:BAJFINANCE-EQ,BAJFINANCE
BALKRISIND,NSE:BALKRISIND-EQ,BALKRISIND
BALRAMCHIN,NSE:BALRAMCHIN-EQ,BALRAMCHIN
BANCOINDIA,NSE:BANCOINDIA-EQ,BANCOINDIA
BANDHANBNK,NSE:BANDHANBNK-EQ,BANDHANBNK
BANKBARODA,NSE:BANKBARODA-EQ,BANKBARODA
BANKINDIA,NSE:BANKINDIA-EQ,BANKINDIA
BASF,NSE:BASF-EQ,BASF
BATAINDIA,NSE:BATAINDIA-EQ,BATAINDIA
BAYERCROP,NSE:BAYERCROP-EQ,BAYERCROP
BBOX,NSE:BBOX-EQ,BBOX
BBTC,NSE:BBTC-EQ,BBTC
BDL,NSE:BDL-EQ,BDL
BEL,NSE:BEL-EQ,BEL
BELRISE,NSE:BELRISE-EQ,BELRISE
BEML,NSE:BEML-EQ,BEML
BERGEPAINT,NSE:BERGEPAINT-EQ,BERGEPAINT
BHARATCOAL,NSE:BHARATCOAL-EQ,BHARATCOAL
BHARATFORG,NSE:BHARATFORG-EQ,BHARATFORG
BHARTIARTL,NSE:BHARTIARTL-EQ,BHARTIARTL
BHARTIHEXA,NSE:BHARTIHEXA-EQ,BHARTIHEXA
BHEL,NSE:BHEL-EQ,BHEL
BIKAJI,NSE:BIKAJI-EQ,BIKAJI
BIOCON,NSE:BIOCON-EQ,BIOCON
BLACKBUCK,NSE:BLACKBUCK-EQ,BLACKBUCK
BLS,NSE:BLS-EQ,BLS
BLUEDART,NSE:BLUEDART-EQ,BLUEDART
BLUEJET,NSE:BLUEJET-EQ,BLUEJET
BLUESTARCO,NSE:BLUESTARCO-EQ,BLUESTARCO
BOSCHLTD,NSE:BOSCHLTD-EQ,BOSCHLTD
BPCL,NSE:BPCL-EQ,BPCL
BRIGADE,NSE:BRIGADE-EQ,BRIGADE
BRITANNIA,NSE:BRITANNIA-EQ,BRITANNIA
BSE,NSE:BSE-EQ,BSE
BSOFT,NSE:BSOFT-EQ,BSOFT
CAMS,NSE:CAMS-EQ,CAMS
CANBK,NSE:CANBK-EQ,CANBK
CANFINHOME,NSE:CANFINHOME-EQ,CANFINHOME
CANHLIFE,NSE:CANHLIFE-EQ,CANHLIFE
CAPLIPOINT,NSE:CAPLIPOINT-EQ,CAPLIPOINT
CARBORUNIV,NSE:CARBORUNIV-EQ,CARBORUNIV
CARTRADE,NSE:CARTRADE-EQ,CARTRADE
CASTROLIND,NSE:CASTROLIND-EQ,CASTROLIND
CCL,NSE:CCL-EQ,CCL
CDSL,NSE:CDSL-EQ,CDSL
CEATLTD,NSE:CEATLTD-EQ,CEATLTD
CELLO,NSE:CELLO-EQ,CELLO
CEMPRO,NSE:CEMPRO-EQ,CEMPRO
CENTRALBK,NSE:CENTRALBK-EQ,CENTRALBK
CENTURYPLY,NSE:CENTURYPLY-EQ,CENTURYPLY
CESC,NSE:CESC-EQ,CESC
CGCL,NSE:CGCL-EQ,CGCL
CGPOWER,NSE:CGPOWER-EQ,CGPOWER
CHALET,NSE:CHALET-EQ,CHALET
CHAMBLFERT,NSE:CHAMBLFERT-EQ,CHAMBLFERT
CHENNPETRO,NSE:CHENNPETRO-EQ,CHENNPETRO
CHOICEIN,NSE:CHOICEIN-EQ,CHOICEIN
CHOLAFIN,NSE:CHOLAFIN-EQ,CHOLAFIN
CHOLAHLDNG,NSE:CHOLAHLDNG-EQ,CHOLAHLDNG
CIEINDIA,NSE:CIEINDIA-EQ,CIEINDIA
CIPLA,NSE:CIPLA-EQ,CIPLA
CLEAN,NSE:CLEAN-EQ,CLEAN
CLEANMAX,NSE:CLEANMAX-EQ,CLEANMAX
CMPDI,NSE:CMPDI-EQ,CMPDI
COALINDIA,NSE:COALINDIA-EQ,COALINDIA
COCHINSHIP,NSE:COCHINSHIP-EQ,COCHINSHIP
COFORGE,NSE:COFORGE-EQ,COFORGE
COHANCE,NSE:COHANCE-EQ,COHANCE
COLPAL,NSE:COLPAL-EQ,COLPAL
CONCOR,NSE:CONCOR-EQ,CONCOR
CONCORDBIO,NSE:CONCORDBIO-EQ,CONCORDBIO
COROMANDEL,NSE:COROMANDEL-EQ,COROMANDEL
CORONA,NSE:CORONA-EQ,CORONA
CPPLUS,NSE:CPPLUS-EQ,CPPLUS
CRAFTSMAN,NSE:CRAFTSMAN-EQ,CRAFTSMAN
CREDITACC,NSE:CREDITACC-EQ,CREDITACC
CRISIL,NSE:CRISIL-EQ,CRISIL
CROMPTON,NSE:CROMPTON-EQ,CROMPTON
CUB,NSE:CUB-EQ,CUB
CUMMINSIND,NSE:CUMMINSIND-EQ,CUMMINSIND
CUPID,NSE:CUPID-EQ,CUPID
CYIENT,NSE:CYIENT-EQ,CYIENT
DABUR,NSE:DABUR-EQ,DABUR
DALBHARAT,NSE:DALBHARAT-EQ,DALBHARAT
DATAPATTNS,NSE:DATAPATTNS-EQ,DATAPATTNS
DCMSHRIRAM,NSE:DCMSHRIRAM-EQ,DCMSHRIRAM
DEEPAKFERT,NSE:DEEPAKFERT-EQ,DEEPAKFERT
DEEPAKNTR,NSE:DEEPAKNTR-EQ,DEEPAKNTR
