datetime,open,high,low,close,volume
2026-01-29 09:15:00,3900.0,3939.0,3881.6,3907.1,54493
2026-01-29 10:15:00,3905.2,3909.5,3878.2,3895.9,68836
2026-01-29 11:15:00,3895.9,3923.1,3891.9,3917.4,65315
2026-01-29 12:15:00,3917.4,3987.5,3917.0,3984.0,82439
2026-01-29 13:15:00,3984.0,4017.9,3973.7,4017.0,63114
2026-01-29 14:15:00,4017.0,4026.9,3993.8,4009.0,95105
2026-01-29 15:15:00,4008.9,4012.7,3991.8,4005.3,26862
2026-01-30 09:15:00,4011.9,4025.0,3940.4,4023.1,43072
2026-01-30 10:15:00,4023.9,4047.2,4006.5,4023.5,34237
2026-01-30 11:15:00,4023.5,4027.9,3998.1,4006.0,29715
2026-01-30 12:15:00,4006.0,4016.6,3966.2,3981.3,71583
2026-01-30 13:15:00,3981.3,4023.1,3970.1,4016.5,37414
2026-01-30 14:15:00,4017.9,4029.9,3992.8,4024.9,142119
2026-01-30 15:15:00,4024.2,4029.9,3990.1,3990.1,72078
2026-02-01 09:15:00,4035.0,4035.0,3960.0,4000.5,12137
2026-02-01 10:15:00,4000.5,4015.7,3995.4,4012.7,8418
2026-02-01 11:15:00,4012.7,4013.1,3913.0,3919.5,25082
2026-02-01 12:15:00,3919.5,3991.0,3802.1,3984.1,40118
2026-02-01 13:15:00,3984.1,3984.6,3948.2,3973.0,6392
2026-02-01 14:15:00,3975.8,3997.6,3967.0,3989.5,9407
2026-02-01 15:15:00,3989.5,3990.0,3905.0,3910.0,37694
2026-02-02 09:15:00,3949.9,4019.6,3933.0,3984.5,61884
2026-02-02 10:15:00,3984.5,3989.0,3928.4,3954.7,35075
2026-02-02 11:15:00,3954.7,3982.4,3935.4,3947.5,32890
2026-02-02 12:15:00,3945.2,4016.0,3939.2,4010.1,42532
2026-02-02 13:15:00,4010.1,4020.0,3984.0,4018.9,36959
2026-02-02 14:15:00,4019.9,4079.9,3986.0,4071.2,111129
2026-02-02 15:15:00,4071.4,4101.8,4066.0,4073.6,39734
2026-02-03 09:15:00,4300.0,4560.0,4300.0,4345.8,485361
